Award Title,film_name,Nominee Name(s),Won,Year,url
Visual Effects,Mad Max: Fury Road,"Andrew Jackson, Tom Wood, Dan Oliver and Andy Williams",0,2016,https://letterboxd.com/film/mad-max-fury-road/
Visual Effects,The Martian,"Richard Stammers, Anders Langlands, Chris Lawrence and Steven Warner",0,2016,https://letterboxd.com/film/the-martian/
Visual Effects,The Revenant,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",0,2016,https://letterboxd.com/film/the-revenant-2015/
Visual Effects,Star Wars: The Force Awakens,"Roger Guyett, Patrick Tubach, Neal Scanlan and Chris Corbould",0,2016,https://letterboxd.com/film/star-wars-the-force-awakens/
Writing (Adapted Screenplay),The Big Short,Charles Randolph and Adam McKay,1,2016,https://letterboxd.com/film/the-big-short/
Writing (Adapted Screenplay),Brooklyn,Nick Hornby,0,2016,https://letterboxd.com/film/brooklyn/
Writing (Adapted Screenplay),Carol,Phyllis Nagy,0,2016,https://letterboxd.com/film/carol-2015/
Writing (Adapted Screenplay),The Martian,Drew Goddard,0,2016,https://letterboxd.com/film/the-martian/
Writing (Adapted Screenplay),Room,Emma Donoghue,0,2016,https://letterboxd.com/film/room-2015/
Writing (Original Screenplay),Spotlight,Josh Singer and Tom McCarthy,1,2016,https://letterboxd.com/film/spotlight/
Writing (Original Screenplay),Bridge of Spies,"Matt Charman, Ethan Coen and Joel Coen",0,2016,https://letterboxd.com/film/bridge-of-spies/
Writing (Original Screenplay),Ex Machina,Alex Garland,0,2016,https://letterboxd.com/film/ex-machina-2015/
Writing (Original Screenplay),Inside Out,"Pete Docter, Meg LeFauve, Josh Cooley, Ronnie del Carmen",0,2016,https://letterboxd.com/film/inside-out-2015/
Writing (Original Screenplay),Straight Outta Compton,"Jonathan Herman, Andrea Berloff, S. Leigh Savidge and Alan Wenkus",0,2016,https://letterboxd.com/film/straight-outta-compton/
Actor in a Leading Role,The Theory of Everything,Eddie Redmayne,1,2015,https://letterboxd.com/film/the-theory-of-everything-2014/
Actor in a Leading Role,Foxcatcher,Steve Carell,0,2015,https://letterboxd.com/film/foxcatcher/
Actor in a Leading Role,American Sniper,Bradley Cooper,0,2015,https://letterboxd.com/film/american-sniper/
Actor in a Leading Role,The Imitation Game,Benedict Cumberbatch,0,2015,https://letterboxd.com/film/the-imitation-game/
